name,surname,forename,orcid,wikidata
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,0000-0003-1354-9089,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burghardt, Manuel",,,,
"Burkhard, Fabienne",,,,
"Burr, Elisabeth",,,,
"Burr, Elisabeth",,,,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,0000-0001-5584-4807,
"Busch, Anna",,,,
"Busch, Anna",,,,
"Busch, Anna",,,,
"Busch, Hannah",,,0000-0002-3491-8202,
"Busch, Hannah",,,,
"Busch, Hannah",,,,
"Busch, Hannah",,,,
"Buschmeier, Matthias",,,0000-0002-5264-2545,
"Butt, Miriam",,,,
"Büttner, Andreas",,,,
"Büttner, Stephan",,,,
"Buyken, Constanze",,,0000-0001-8826-952X,
"Caesar, Ingo",,,,
"Çakir, Dîlan Canan",,,,
"Çakir, Dîlan Canan",,,,
"Cakir, Osman",,,,
"Calanducci, Antonio",,,,
"Calvo Tello, José",,,0000-0002-1129-5604,
"Calvo Tello, José",,,0000-0002-1129-5604,
"Calvo Tello, José",,,,
"Calvo Tello, José",,,,
"Calvo Tello, José",,,,
"Calvo, José",,,,
"Cantera, Alberto",,,,
"Capelle, Irmlind",,,,
"Capelle, Irmlind",,,,
"Capsamun, Roman",,,,
"Caria, Federico",,,,
"Carla, Sökefeld",,,,
"Casties, Robert",,,,
"Celia, Krause",,,,
"Chandna, Swati",,,,
"Chandna, Swati",,,,
"Charbonnier, Pauline",,,,
"Charvat, Vera Maria",,,,
"Chen, Esther",,,,
"Chiarcos, Christian",,,,
"Chlastak, Maria",,,0000-0003-1046-3634,
"Christ, Andreas",,,0000-0002-3591-2355,
"Christ, Andreas",,,0000-0002-3591-2355,
"Christen, Jonas",,,,
"Christian, Reul",,,0000-0002-1776-1469,
"Christlein, Vincent",,,,
"Christlein, Vincent",,,,
"Christlein, Vincent",,,,
"Christlein, Vincent",,,,
"Christoforaki, Maria",,,,
"Christoforaki, Maria",,,,
"Clados, Christiane",,,,
"Clausen, Hans",,,0009-0008-4730-5473,
"Clematide, Simon",,,,
"Colditz, Iris",,,,
"Coltekin, Cagri",,,,
"Contreras Saiz, Mónika",,,,
"Costa, Rute",,,,
"Cotgrove, Louis",,,,
"Cremer, Fabian",,,0000-0001-8251-9727,
"Cremer, Fabian",,,0000-0001-8251-9727,
"Cremer, Fabian",,,0000-0001-8251-9727,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Cremer, Fabian",,,,
"Crowley, Ronan",,,,
"Csillag, Marlene",,,,
"Cugliana, Elisa",,,0000-0002-6460-2954,
"Cugliana, Elisa",,,0000-0002-6460-2954,
"Cugliana, Elisa",,,0000-0002-6460-2954,
"Czeitschner, Ulrike",,,,
"Czmiel, Alexander",,,,
"Czmiel, Alexander",,,,
"Czmiel, Alexander",,,,
"Czmiel, Alexander",,,,
"Czmiel, Alexander",,,,
"Czmiel, Alexander",,,,
"Daengeli, Peter",,,,
"Dahnke, Michael",,,,
"Dahnke, Michael",,,,
"Dahnke, Michael",,,,
"Damiani, Vincenzo",,,,
"Dang, Sarah-Mai",,,0000-0002-1960-247X,
"Dang, Sarah-Mai",,,0000-0002-1960-247X,
"Dängeli, Peter",,,,
"Dängeli, Peter",,,,
"David, Schmidt",,,,
"Daxenberger, Johannes",,,,
"de Günther, Sabine",,,0000-0001-6936-9381,
"de la Iglesia, Martin",,,0000-0002-9319-4793,
"De Luca, Ernesto William",,,,
"Debbeler, Anke",,,,
"Deck, Oliver",,,,
"Decker, Eric",,,,
"Decker, Franziska",,,,
"Decker, Jan-Oliver",,,,
"Declerck, Thierry",,,,
"Declerck, Thierry",,,,
"Décultot, Elisabeth",,,,
"Deicke, Aline",,,0000-0001-7347-7625,
"Deicke, Aline",,,0000-0001-7347-7625,
"Demleitner, Adrian",,,0000-0001-9918-7300,
"Demmer, Dennis",,,,
"Dennerlein, Katrin",,,0000-0003-0059-9597,
"Dennerlein, Katrin",,,0000-0003-0059-9597,
"Dennerlein, Katrin",,,0000-0003-0059-9597,
"Dennerlein, Katrin",,,0000-0003-0059-9597,
"Dennerlein, Katrin",,,,
"Dennerlein, Katrin",,,,
"Desouki, Abdelmoneim",,,0000-0003-2083-1277,
"Dewitz, Leyla",,,,
"Dias, Renata",,,,
"Diebel, Richard",,,0000-0001-7525-7175,
"Diecke, Josephine",,,,
"Diecke, Josephine",,,,
"Dieckmann, Lisa",,,0000-0002-1708-7371,
"Dieckmann, Lisa",,,0000-0002-1708-7371,
"Dieckmann, Lisa",,,0000-0002-1708-7371,
"Dieckmann, Lisa",,,0000-0002-1708-7371,
"Dieckmann, Lisa",,,,
"Dieckmann, Lisa",,,,
"Diederichs, Katja",,,,
"Diederichs, Katja",,,,
"Diehr, Franziska",,,0000-0003-3886-3250,
"Diehr, Franziska",,,,
"Diehr, Franziska",,,,
"Diehr, Franziska",,,,
"Diehr, Franziska",,,,
"Diem, Markus",,,,
"Diem, Markus",,,,
"Diesner, Jana",,,,
"Dietrich, Elisabeth",,,0009-0003-9337-1918,
"Dietrich, Elisabeth",,,,
"Dietz, Katharina",,,0000-0001-7405-3656,
"Dietz, Nadine",,,0000-0001-8060-5947,
"Diewald, Nils",,,0000-0002-2993-9180,
"Diewald, Nils",,,,
"Digmayer, Claas",,,,
"Dill, Kristin",,,,
"Dimpel, Friedrich",,,,
"Dimpel, Friedrich Michael",,,,
"Dimpel, Friedrich Michael",,,,
"Dimpel, Friedrich Michael",,,,
"Dinger, Patrick",,,0000-0002-2649-4737,
"Dinger, Patrick",,,0000-0002-2649-4737,
"Dinger, Patrick",,,0000-0002-2649-4737,
"Dinger, Patrick",,,,
"Dipper, Stefanie",,,0000-0003-4357-9078,
"Dittmann, Christina",,,0009-0000-7085-3154,
"Dittrich, Andreas",,,,
