speaker-name,number-of-lectures
'0000-0002-0403-457X',1
'0000-0003-1418-9935',1
'0000-0002-0568-0864',1
'0000-0002-4897-7107',1
'0000-0002-4199-0130',1
'0000-0003-2657-4072',1
'0000-0003-0944-0144',1
'0000-0002-6297-3882',1
'Q126691989',1
'Q126691991',1
'0000-0003-1461-7936',1
'0009-0005-5327-7489',1
'0000-0003-3080-7801',1
'0009-0005-6732-3124',1
'Q126691961',1
'0009-0006-0785-035X',1
'0009-0002-1687-1647',1
'Q126692000',1
'Q126692001',1
'Q126692002',1
'0000-0002-8492-9268',1
'Q126595948',1
'0000-0003-0796-1640',1
'Q126691971',1
'0000-0001-8558-8939',1
'0000-0001-6828-9945',1
'0000-0001-9093-5077',1
'0000-0003-3621-4118',1
'0000-0002-3288-044X',1
'0000-0002-3163-2233',1
'0000-0003-0020-9042',1
'0009-0008-9383-6769',1
'Q126691993',1
'0000-0002-4833-3133',1
'0000-0002-4828-0748',1
'0000-0003-3400-837X',1
'0000-0001-5560-1901',1
'0000-0003-4070-1787',1
'0009-0006-3610-5754',1
'0000-0001-8603-5105',1
'Q140389155',1
'Q126691968',1
'0000-0002-1429-5036',1
'0000-0002-9287-0286',1
'Q126594324',1
'0000-0003-3681-4957',1
'0000-0003-3257-743X',1
'0000-0002-6051-4500',1
'0000-0001-5492-0644',1
'Q126691998',1
'0009-0000-4584-0597',1
'0000-0002-8662-7618',1
'0000-0002-8973-2827',1
'0000-0003-3094-139X',1
'Q126594395',1
'Q126594397',1
'Q126598213',1
'0009-0006-5603-8974',1
'0009-0001-5880-746X',1
'Q126595944',1
'Q126691956',1
'Q126595553',1
'Q126691946',1
'0000-0001-7175-8343',1
'Q126595957',1
'Q126595561',1
'Q126598065',1
'Q126599583',1
'0009-0009-1272-3859',1
'Q126691979',1
'0000-0001-5691-4029',1
'0000-0002-9969-0608',1
'Q126595950',1
'0009-0003-0530-461X',1
'0000-0001-8690-0832',1
'0000-0001-6564-0832',1
'0000-0002-2181-0606',1
'0000-0002-7047-1057',1
'Q126691981',1
'Q126691982',1
'Q126691984',1
'Q126691985',1
'Q126691986',1
'0009-0002-0748-6886',1
'0000-0002-3010-4287',1
'0000-0001-9591-5614',1
'0000-0003-4512-2047',1
'0000-0001-5216-278X',1
'0000-0003-2860-6621',1
'0000-0003-3108-8597',1
'0000-0002-9338-2575',1
'Q126692014',1
'Q126594411',1
'Q126598072',1
'Q70327042',1
'Q126692015',1
'Q126692016',1
'Q141122141',1
'0000-0001-8223-7009',1
