speaker-name,number-of-lectures
Suzanne Mpouli,1
Sofia Ares Oliveira,1
Thorsten Ries,1
Gerrit Brüning,1
Roxanne Wyns,1
Christof Schöch,1
Hans Walter Gabler,1
Dries Moreels,1
Verónica Romero Gomez,1
Fotis Jannidis,1
Sarah Fierens,1
Corina Koolen,1
Franc Schuerewegen,1
Mats Dahlström,1
Huw Jones,1
Magdalena Turska,1
Mattia Di Gangi,1
Julie Blake,1
Paul Aron,1
Ari Bergman,1
Margherita Parigini,1
Mattia Di Gangi,1
Siebe Bluijs,1
Lois Burke,1
Gerhard Lauer,1
Peter Stokes,1
Megan Gooch,1
Nicholas Cornia,1
Enrique Manjavacas Arévalo,1
Mike Kestemont,1
Susan Hockey,1
Johanna Drucker,1
Niels Brügger,1
Carlo Meghini,1
Charlotte Roueché,1
Elisa Oreglia,1
Peter Chonka,1
Ashvin Mathew,1
Laura Gibson,1
Niki Cheong,1
Rafal Zaborowski,1
Cristina Moreno Almeida,1
Daniel Chávez Heras,1
Mercedes Bunz,1
Kate Devlin,1
Mikkel Kenni Bruun,1
Vita Peacock,1
Rob Sanderson,1
Elaine Treharne,1
Caroline Bassett,1
Salvador Ros Muñoz,1
Elena Battaner Moro,1
Ana Garcia-Serrano,1
Isabel Segura-Bedmar,1
Antonio Perianes-Rodríguez,1
Jesús Bermejo,1
Luis Alberto Polo,1
Andreas Ekström,1
Asad Sayeed,1
Helena Granström,1
Johannes Heldén,1
Lars Borin,1
Christian Horn,1
Cecilia Lindhé,1
Mats Björkin,1
Elena Lamberti,1
Frida Andersson,1
Maria Guadalupe Alvarez Diaz,1
Marcel O’Gorman,1
David M. Berry,1
Anders Fagerjord,1
Jonas Linderoth,1
Onur Kılıç,1
Mia Liinason,1
Nadia Ruiz Bravo,1
Lisen Selander,1
Rachel Pierce,1
Andrew Lison,1
Grant Bollmer,1
Ted Underwood,1
N. Katherine Hayles,1
John Martin,1
Julia Pennlert,1
Henrik Summanen,1
Christian Mehrstam,1
Katherine Bode,1
Jonas Ingvarsson,1
Jonathan Lundberg,1
Mathies Græsborg Aarhus,1
Lena Rogström,1
Sofie Johansson,1
Dick Claésson,1
Jonathan Westin,1
Anton Törnberg,1
Martina Hjertman,1
Ying-Hsang Liu,1
Giovanni Colavizza,1
Jaqueline Pierazzo,1
Marco Orlandi,2
Martina Elice,2
Federico Mazzini,2
Sara Tonelli,2
Nevio Danelon,2
Benedetta Bessi,2
Peter Robinson,2
Ulrike Wuttke,2
Thierry Stœhr,2
Simon Gabay,2
Richard Walter,2
Bernhard Ruef,2
Felix Rau,2
Franz Fischer,2
Øyvind Eide,2
Katja Diederichs,2
Christian Prager,2
Thierry Declerck,2
Thorsten Wübbena,2
Eleftheria Paliou,2
Georg Schelbert,2
Sebastian Zimmer,2
Mareike König,2
Nora Probst,2
Jonathan Blumtritt,2
Katrin Glinka,2
Elena Pierazzo,2
Claus Huitfeldt,2
Piotr Kuroczynski,2
Stefan Heßbrüggen-Walter,2
Martina Filosa,2
Jan Horstmann,2
Mark Finlayson,2
Susanne Kurz,2
Elli Bleeker,2
Costas Papadopoulos,2
Patricia Murrieta-Flores,2
Willard McCarty,2
Fernanda Alvares Freire,2
Dennis Mischke,2
Fabian Kaßner,2
Frank Krüger,2
Angila Vetter,2
Monica Berti,2
Anne Baillot,2
Julian Schröter,2
Evelyn Gius,2
Natalja Menold,2
Anna-Maria De Cesare,2
Verena Straub,2
Hauke Bartels,2
Marianne Kneuer,2
Angela Dreßen,2
Yannick Frommherz,2
Jan Langenhorst,2
Jan Heilmann,2
Andreas Kuczera,2
Aline Deicke,2
Gregor Middell,2
Marie Flüh,2
Annette Stockhausen,2
Michael Piotrowski,2
Jennifer Edmond,2
Beijia Chen,2
Lisa Poggel,2
Hanna Weimann,2
Matthias Bauer,2
Klaus Hentschel,2
Torsten Himel,2
Manuel Braun,2
Andreas Haka,2
Johanna Barzen,2
Reinhard Krüger,2
Beatrice Nickel,2
Klaus Wendel,2
Markus John,2
Peggy Bockwinkel,2
Toni Bernhart,2
Dominik Gerstorfer,2
