Person ID	Institution	Year
caloi_ilaria	uni-venezia	2024
bernardini_federico	uni-venezia	2024
cauvin_thomas	uni-luxemburg	2024
boschetti_federico	ilc	2024
kloet_jeroen-de	uni-amsterdam	2024
dziekan_vincent	uni-monash	2024
madden_amanda	uni-george-mason	2024
rettberg_scott	uni-bergen	2024
wuebbena_thorsten	ieg-mainz	2022
cremer_fabian	mws	2018
pujol-tost_laia	uni-york	2018
pujol-tost_laia	uni-pompeu-fabra	2018
el-khatib_randa	uni-victoria	2018
sahle_patrick	uni-koeln	2015
sahle_patrick	uni-wuppertal	2021
schulz_sarah	uni-stuttgart	2018
reiter_nils	uni-stuttgart	2018
reiter_nils	uni-koeln	2021
