Person ID	First Name	Last Name	Sex	Year	Institution
dawson_john	John	Dawson		2024	uni-cambridge
holobut_agata	Agata	Hołobut		2024	uni-jagiellonski
rybicki_jan	Jan	Rybicki		2024	uni-jagiellonski
manovich_lev	Lev	Manovich		2024	uni-new-york
sobchuk_oleg	Oleg	Sobchuk		2024	mpi-eva
jacqueline_anne	Anne	Jacqueline		2016	self-employment
bocciolesi_enrico	Enrico	Bocciolesi		2016	uni-e-campus
del-grosso_angelo-mario	Angelo Mario	Del Grosso		2016	cnr
lame_marion	Marion	Lamé		2015	cnr
lame_marion	Marion	Lamé		2016	uni-pisa
caputo_marina	Marina	Caputo		2016	uni-perugia
stella_francesco	Francesco	Stella		2016	uni-siena
bianchi_alessandra	Alessandra	Bianchi		2016	uni-bergamo
cei_enzo	Enzo	Cei		2016	self-employment
guarasci_roberto	Roberto	Guarasci		2016	uni-calabria
spugnesi_giorgio	Giorgio	Spugnesi		2016	uni-pisa
d-ambra_dario	Dario	D’Ambra		2016	fh-koeln
feliciati_pierluigi	Pierluigi	Feliciati		2015	uni-macerata
pagliarini_enrico	Enrico	Pagliarini		2015	radio-24
pinna_gabriela-maria	Gabriela Maria	Pinna		2015	cnr
frontini_francesca	Francesca	Frontini		2015	cnr
muggittu_vincenzo	Vincenzo	Muggittu		2015	liceo-classico-galileo-galilei
testa_simone	Simone	Testa		2015	eui
de-santis_dario	Dario	De Santis		2015	uni-milano-bicocca
potenziani_marco	Marco	Potenziani		2017	cnr
tomasi_lorenzo	Lorenzo	Tomasi		2017	uni-lausanne
lo-duca_angelica	Angelica	Lo Duca		2017	cnr
traverso_ilaria	Ilaria	Traverso		2017	uni-madrid-autonoma
viazzi_federica	Federica	Viazzi		2017	library-beic
battaner-moro_elena	Elena	Battaner Moro		2024	uni-rey-juan-carlos
bia-platas_alejandro	Alejandro	Bia Platas		2020	uni-miguel-hernandez
jakacki_diane	Diane	Jakacki		2020	uni-bucknell
wrisley_david	David	Wrisley		2021	uni-abu-dhabi-ny
arnold_denis	Denis	Arnold		2021	ids
fisseni_bernhard	Bernhard	Fisseni		2021	ids
tilton_lauren	Lauren	Tilton		2021	uni-richmond
chiodo_carol	Carol	Chiodo		2021	library-uni-harvard
ciotti_fabio	Fabio	Ciotti		2018	uni-roma-tor-vergata
ciotti_fabio	Fabio	Ciotti		2025	uni-roma-tor-vergata
krefeld_thomas	Thomas	Krefeld		2018	uni-muenchen
goebl_hans	Hans	Goebl		2018	uni-salzburg
odebrecht_carolin	Carolin	Odebrecht		2015	uni-hu-berlin
garcia-fernandez_anne	Anne	Garcia-Fernandez		2022	uni-grenoble-alpes
bohnert_celine	Céline	Bohnert		2022	uni-reims iuf
saint-raymond_lea	Léa	Saint-Raymond		2022	uni-paris-pantheon-sorbonne
reach-ngo_anne	Anne	Réach-Ngô		2022	uni-haute-alsace iuf
balmon_theodora	Théodora	Balmon		2022	library-uni-corse
piazza_linda	Linda	Piazza		2022	library-tommaso-trela
gherardi_eugene	Eugène	Gherardi		2021	uni-corse
nussbaumer_lisa	Lisa	Nußbaumer		2023	uni-wien
linser_nora	Nora	Linser		2023	uni-wien
ensslin_astrid	Astrid	Ensslin		2024	uni-regensburg
diecke_josephine	Josephine	Diecke		2024	uni-zuerich
kleymann_rabea	Svenja	Guhr		2024	uni-chemnitz
guhr_svenja	Svenja	Guhr		2024	uni-darmstadt
guhr_svenja	Svenja	Guhr		2025	uni-darmstadt
spoerer_mark	Mark	Spoerer		2024	uni-regensburg
fritz_larissa	Larissa	Fritz		2024	uni-stuttgart
afanador_maria-jose	Maria José	Afanador		2024	uni-andes
