TermOrganizers	LectureSpeaker	SeriesId	EdgeId	speaker	affiliation
dumont_stefan	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
dumont_stefan	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
dumont_stefan	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
dumont_stefan	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
dumont_stefan	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
dumont_stefan	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
dumont_stefan	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
dumont_stefan	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
dumont_stefan	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
dumont_stefan	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
dumont_stefan	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
dumont_stefan	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
dumont_stefan	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
haaf_susanne	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
haaf_susanne	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
haaf_susanne	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
haaf_susanne	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
haaf_susanne	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
haaf_susanne	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
haaf_susanne	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
haaf_susanne	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
haaf_susanne	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
haaf_susanne	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
haaf_susanne	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
haaf_susanne	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
haaf_susanne	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
haaf_susanne	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
haaf_susanne	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
haaf_susanne	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
haaf_susanne	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
haaf_susanne	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
haaf_susanne	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
haaf_susanne	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
neuber_frederike	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
neuber_frederike	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
neuber_frederike	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
neuber_frederike	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
neuber_frederike	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
neuber_frederike	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
neuber_frederike	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
neuber_frederike	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
neuber_frederike	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
neuber_frederike	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
neuber_frederike	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
neuber_frederike	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
neuber_frederike	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
neuber_frederike	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
neuber_frederike	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
neuber_frederike	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
neuber_frederike	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
neuber_frederike	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
neuber_frederike	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
neuber_frederike	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
thomas_christian	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
thomas_christian	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
thomas_christian	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
thomas_christian	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
thomas_christian	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
thomas_christian	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
thomas_christian	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
thomas_christian	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
thomas_christian	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
thomas_christian	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
thomas_christian	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
thomas_christian	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
thomas_christian	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
thomas_christian	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
thomas_christian	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
thomas_christian	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
thomas_christian	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
thomas_christian	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
thomas_christian	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
thomas_christian	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
czmiel_alexander	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
czmiel_alexander	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
czmiel_alexander	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
czmiel_alexander	haaf_susanne (bbaw)	ls12	ls12_t3_l3	haaf_susanne	bbaw
czmiel_alexander	czmiel_alexander (bbaw)	ls12	ls12_t3_l3	czmiel_alexander	bbaw
czmiel_alexander	mueller-laackman_jonas (bbaw)	ls12	ls12_t3_l3	mueller-laackman_jonas	bbaw
czmiel_alexander	pohl_oliver (bbaw)	ls12	ls12_t3_l3	pohl_oliver	bbaw
czmiel_alexander	thomas_christian (bbaw)	ls12	ls12_t3_l3	thomas_christian	bbaw
czmiel_alexander	tuerkoglu_enes (uni-koeln)	ls12	ls12_t3_l4	tuerkoglu_enes	uni-koeln
czmiel_alexander	middell_gregor (pagina)	ls12	ls12_t3_l5	middell_gregor	pagina
czmiel_alexander	jarosch_julian (adw-mainz)	ls12	ls12_t3_l6	jarosch_julian	adw-mainz
czmiel_alexander	wuttke_ulrike (fh-potsdam)	ls12	ls12_t3_l7	wuttke_ulrike	fh-potsdam
czmiel_alexander	klar_jochen (self-employment)	ls12	ls12_t3_l7	klar_jochen	self-employment
czmiel_alexander	groetschel_martin (bbaw)	ls12	ls12_t3_l8	groetschel_martin	bbaw
czmiel_alexander	bubenhofer_noah (uni-zuerich)	ls12	ls12_t3_l9	bubenhofer_noah	uni-zuerich
czmiel_alexander	diehr_franziska (spk)	ls12	ls12_t3_l10	diehr_franziska	spk
czmiel_alexander	glinka_katrin (spk)	ls12	ls12_t3_l10	glinka_katrin	spk
czmiel_alexander	trilcke_peer (uni-potsdam)	ls12	ls12_t3_l11	trilcke_peer	uni-potsdam
czmiel_alexander	busch_anna (uni-potsdam)	ls12	ls12_t3_l11	busch_anna	uni-potsdam
czmiel_alexander	bludau_mark-jan (fh-potsdam)	ls12	ls12_t3_l11	bludau_mark-jan	fh-potsdam
wuerzner_kay-michael	fry_alex (psycle)	ls12	ls12_t3_l1	fry_alex	psycle
wuerzner_kay-michael	gardner_roy (psycle)	ls12	ls12_t3_l1	gardner_roy	psycle
wuerzner_kay-michael	pollin_christopher (uni-graz)	ls12	ls12_t3_l2	pollin_christopher	uni-graz
